[17:50:17] === FAST POSE TRAINING ===
[17:50:17] CPU Cores: 20, Compute threads: 16, Data workers: 8
[17:50:17] Subset: 15000, Batch: 8, Save every: 100
[17:50:22] Dataset: 15000 samples, 1875 batches per epoch
[17:50:26] Student params: 659,136
[17:50:26] Teacher loaded
[17:50:30] Starting training from batch 0...
[23:32:58] Batch 610/15000 | Loss: 15.1603 | Student: 37.3712 | Distill: 5.6414 | Time: 37.6s | ETA: 150.4h
[23:39:16] Batch 620/15000 | Loss: 14.9828 | Student: 35.6837 | Distill: 6.1110 | Time: 37.8s | ETA: 151.1h
[23:45:36] Batch 630/15000 | Loss: 14.5585 | Student: 37.4829 | Distill: 4.7337 | Time: 38.0s | ETA: 151.7h
[23:52:05] Batch 640/15000 | Loss: 14.8620 | Student: 37.3164 | Distill: 5.2386 | Time: 38.9s | ETA: 155.1h
[23:58:28] Batch 650/15000 | Loss: 15.4527 | Student: 39.0002 | Distill: 5.3609 | Time: 38.3s | ETA: 152.6h
[00:04:49] Batch 660/15000 | Loss: 14.1971 | Student: 36.8252 | Distill: 4.4993 | Time: 38.1s | ETA: 151.7h
[00:11:16] Batch 670/15000 | Loss: 15.5216 | Student: 41.4099 | Distill: 4.4266 | Time: 38.7s | ETA: 154.0h
[00:17:40] Batch 680/15000 | Loss: 15.6776 | Student: 41.3107 | Distill: 4.6920 | Time: 38.4s | ETA: 152.7h
[00:23:53] Batch 690/15000 | Loss: 16.3322 | Student: 39.8812 | Distill: 6.2398 | Time: 37.3s | ETA: 148.3h
[00:30:16] Batch 700/15000 | Loss: 15.4094 | Student: 37.9420 | Distill: 5.7526 | Time: 38.3s | ETA: 152.2h
[00:30:16]   Saved checkpoint at batch 700
[00:36:45] Batch 710/15000 | Loss: 13.9338 | Student: 35.8075 | Distill: 4.5593 | Time: 38.8s | ETA: 154.1h
[00:43:07] Batch 720/15000 | Loss: 17.0730 | Student: 44.3649 | Distill: 5.3764 | Time: 38.2s | ETA: 151.5h
[00:49:28] Batch 730/15000 | Loss: 16.0669 | Student: 39.2875 | Distill: 6.1152 | Time: 38.2s | ETA: 151.2h
[00:55:50] Batch 740/15000 | Loss: 13.6810 | Student: 35.0767 | Distill: 4.5114 | Time: 38.2s | ETA: 151.4h
[01:01:54] Batch 750/15000 | Loss: 16.0953 | Student: 41.1049 | Distill: 5.3769 | Time: 36.3s | ETA: 143.9h
[01:08:01] Batch 760/15000 | Loss: 14.4945 | Student: 36.7717 | Distill: 4.9472 | Time: 36.7s | ETA: 145.3h
[01:14:19] Batch 770/15000 | Loss: 15.2783 | Student: 36.7834 | Distill: 6.0619 | Time: 37.7s | ETA: 149.1h
[01:20:32] Batch 780/15000 | Loss: 16.3308 | Student: 39.7045 | Distill: 6.3135 | Time: 37.3s | ETA: 147.4h
[01:27:18] Batch 790/15000 | Loss: 15.3357 | Student: 38.4822 | Distill: 5.4158 | Time: 40.6s | ETA: 160.4h
[01:33:52] Batch 800/15000 | Loss: 15.2116 | Student: 37.0344 | Distill: 5.8590 | Time: 39.3s | ETA: 155.2h
[01:33:52]   Saved checkpoint at batch 800
[01:39:53] Batch 810/15000 | Loss: 15.1474 | Student: 38.6179 | Distill: 5.0887 | Time: 36.1s | ETA: 142.5h
[01:46:17] Batch 820/15000 | Loss: 16.6384 | Student: 42.0878 | Distill: 5.7315 | Time: 38.4s | ETA: 151.1h
[01:52:36] Batch 830/15000 | Loss: 14.0075 | Student: 36.7130 | Distill: 4.2766 | Time: 37.9s | ETA: 149.2h
[01:58:46] Batch 840/15000 | Loss: 16.0431 | Student: 37.9554 | Distill: 6.6521 | Time: 37.1s | ETA: 145.8h
[02:04:54] Batch 850/15000 | Loss: 14.4907 | Student: 36.1726 | Distill: 5.1984 | Time: 36.7s | ETA: 144.3h
[02:11:01] Batch 860/15000 | Loss: 15.1028 | Student: 37.3278 | Distill: 5.5778 | Time: 36.7s | ETA: 144.2h
[02:17:36] Batch 870/15000 | Loss: 15.7049 | Student: 40.0765 | Distill: 5.2600 | Time: 39.5s | ETA: 155.2h
[02:23:57] Batch 880/15000 | Loss: 14.0654 | Student: 35.1384 | Distill: 5.0340 | Time: 38.1s | ETA: 149.4h
[02:30:07] Batch 890/15000 | Loss: 14.5402 | Student: 36.7088 | Distill: 5.0394 | Time: 37.0s | ETA: 145.0h
[02:36:20] Batch 900/15000 | Loss: 15.3895 | Student: 38.4829 | Distill: 5.4923 | Time: 37.3s | ETA: 146.0h
[02:36:20]   Saved checkpoint at batch 900
[02:42:41] Batch 910/15000 | Loss: 15.1255 | Student: 38.3290 | Distill: 5.1812 | Time: 38.1s | ETA: 149.0h
[02:48:55] Batch 920/15000 | Loss: 14.1856 | Student: 38.0079 | Distill: 3.9760 | Time: 37.4s | ETA: 146.3h
[02:55:03] Batch 930/15000 | Loss: 15.4881 | Student: 39.7838 | Distill: 5.0756 | Time: 36.8s | ETA: 143.7h
[03:01:48] Batch 940/15000 | Loss: 15.1047 | Student: 38.7754 | Distill: 4.9601 | Time: 40.5s | ETA: 158.2h
[03:07:53] Batch 950/15000 | Loss: 15.6106 | Student: 39.7404 | Distill: 5.2693 | Time: 36.5s | ETA: 142.4h
[03:13:59] Batch 960/15000 | Loss: 15.9094 | Student: 40.2852 | Distill: 5.4626 | Time: 36.7s | ETA: 142.9h
[03:20:19] Batch 970/15000 | Loss: 14.3042 | Student: 36.8914 | Distill: 4.6240 | Time: 38.0s | ETA: 148.0h
[03:26:34] Batch 980/15000 | Loss: 15.8622 | Student: 40.1333 | Distill: 5.4603 | Time: 37.5s | ETA: 146.1h
[03:32:36] Batch 990/15000 | Loss: 14.9356 | Student: 35.2554 | Distill: 6.2271 | Time: 36.2s | ETA: 140.9h
[03:38:53] Batch 1000/15000 | Loss: 15.7617 | Student: 39.4055 | Distill: 5.6286 | Time: 37.6s | ETA: 146.3h
[03:38:53]   Saved checkpoint at batch 1000
[03:45:10] Batch 1010/15000 | Loss: 13.8713 | Student: 36.7057 | Distill: 4.0850 | Time: 37.7s | ETA: 146.5h
[03:51:07] Batch 1020/15000 | Loss: 16.1252 | Student: 40.9760 | Distill: 5.4749 | Time: 35.7s | ETA: 138.6h
[03:57:34] Batch 1030/15000 | Loss: 14.5773 | Student: 38.0224 | Distill: 4.5293 | Time: 38.7s | ETA: 150.1h
[04:03:38] Batch 1040/15000 | Loss: 15.1443 | Student: 37.6005 | Distill: 5.5201 | Time: 36.4s | ETA: 141.3h
[04:09:44] Batch 1050/15000 | Loss: 15.4011 | Student: 37.5675 | Distill: 5.9012 | Time: 36.6s | ETA: 141.8h
[04:16:03] Batch 1060/15000 | Loss: 14.4932 | Student: 37.3152 | Distill: 4.7123 | Time: 37.9s | ETA: 146.8h
[04:22:38] Batch 1070/15000 | Loss: 15.2133 | Student: 39.9795 | Distill: 4.5993 | Time: 39.5s | ETA: 152.8h
